atmoProfile,aeroProfile,GroundReflectance,AOT,band,aX,bX,cX,MeanSRRAD,MaxSRRAD,MinSRRAD,StdSRRAD,MeanSRTOA,MaxSRTOA,MinSRTOA,StdSRTOA
1,1,-1,0.7,3,0.00334000005387,0.123800002038,0.175879999995,65.4506624424,760.0,1.0,117.283933961,233.600365423,556.0,1.0,32.6184066019
1,1,-1,0.7,4,0.0035500000231,0.0800699964166,0.146500006318,56.729453485,761.0,1.0,116.200181914,215.220517713,577.0,1.0,35.6649436816
1,1,-1,0.7,5,0.00490000005811,0.0403099991381,0.103430002928,397.260116647,856.0,29.0,82.4068910504,1412.06623344,721.0,29.0,47.3228404167
1,1,-1,0.7,6,0.0176199991256,0.0111800003797,0.0424599982798,197.591748272,740.0,1.0,93.3222603993,2675.54651858,636.0,1.0,45.7226985468
1,1,-1,0.7,7,0.0565400011837,0.00448000011966,0.0227700006217,110.049020737,744.0,3.0,98.4110224893,4255.2827603,524.0,3.0,37.7665351967
1,1,-1,0.8,1,0.00413999985904,0.316100001335,0.24498000741,52.483656754,794.0,1.0,125.621110413,299.521502376,572.0,1.0,31.3533033323
1,1,-1,0.8,2,0.00362000009045,0.234559997916,0.222440004349,50.8067000288,785.0,1.0,122.093415778,218.935354263,565.0,1.0,32.3451852987
1,1,-1,0.8,3,0.00353000010364,0.141090005636,0.184569999576,60.9798639113,784.0,1.0,122.250684033,235.50374244,556.0,1.0,32.6184066019
1,1,-1,0.8,4,0.00372999999672,0.0926200002432,0.155799999833,55.5893379176,783.0,1.0,119.339131055,216.235325461,577.0,1.0,35.6649436816
1,1,-1,0.8,5,0.00509000010788,0.0467999987304,0.11153999716,406.030133929,876.0,25.0,84.7519820742,1437.32219722,721.0,25.0,47.3228404167
1,1,-1,0.8,6,0.0179600007832,0.0129199996591,0.0467300005257,199.640916619,750.0,1.0,94.8451908619,2683.75683324,636.0,1.0,45.7226985468
1,1,-1,0.8,7,0.0575000010431,0.00516999978572,0.0250700004399,111.231341806,755.0,2.0,99.9581906416,4254.56239199,524.0,2.0,37.7665351967
1,1,-1,0.9,1,0.00443999981508,0.353650003672,0.250270009041,52.8412316388,827.0,1.0,129.65085331,305.534050979,572.0,1.0,31.3533033323
1,1,-1,0.9,2,0.00386000005528,0.263559997082,0.228990003467,50.9794408842,814.0,1.0,125.515995738,218.97702693,565.0,1.0,32.3451852987
1,1,-1,0.9,3,0.00374000007287,0.160109996796,0.19251999259,59.1350446429,811.0,1.0,126.398246312,237.728290611,556.0,1.0,32.6184066019
1,1,-1,0.9,4,0.00392000004649,0.105930000544,0.164350003004,54.7942864343,806.0,1.0,122.53649731,217.153544427,577.0,1.0,35.6649436816
1,1,-1,0.9,5,0.00528999976814,0.053860001266,0.119089998305,415.063202045,897.0,21.0,87.214707313,1463.72685772,721.0,21.0,47.3228404167
1,1,-1,0.9,6,0.0183000005782,0.0147200003266,0.0507499985397,201.631649626,760.0,1.0,96.3672469299,2692.64987939,636.0,1.0,45.7226985468
1,1,-1,0.9,7,0.0584900006652,0.00588000006974,0.0272400006652,112.451945925,765.0,1.0,101.555308618,4258.071803,524.0,1.0,37.7665351967
1,1,-1,1.0,1,0.00475999992341,0.394670009613,0.255059987307,53.2238011233,861.0,1.0,133.687700183,310.492173099,572.0,1.0,31.3533033323
1,1,-1,1.0,2,0.00412000017241,0.295150011778,0.234929993749,51.3086279522,845.0,1.0,129.181428291,219.039620536,565.0,1.0,32.3451852987
1,1,-1,1.0,3,0.00395999988541,0.180889993906,0.199799999595,57.7943998416,838.0,1.0,130.254514489,239.193948013,556.0,1.0,32.6184066019
1,1,-1,1.0,4,0.00411000009626,0.12025000155,0.172079995275,54.0188670075,827.0,1.0,125.401076189,217.260073445,577.0,1.0,35.6649436816
1,1,-1,1.0,5,0.0054999999702,0.0614299997687,0.126100003719,424.409148185,918.0,17.0,89.7911759741,1491.26058108,721.0,17.0,47.3228404167
1,1,-1,1.0,6,0.0186500009149,0.0165800005198,0.0545700006187,203.680681164,770.0,1.0,97.9370473181,2703.13328953,636.0,1.0,45.7226985468
1,1,-1,1.0,7,0.0594899989665,0.00661000004038,0.0292799994349,113.67483979,776.0,1.0,103.169978987,4264.45565236,524.0,1.0,37.7665351967
1,1,-2,0.0,1,0.0024600001052,0.117009997368,0.171900004148,83.0525759649,591.0,37.0,86.1883961046,256.911527938,572.0,37.0,31.3533033323
1,1,-2,0.0,2,0.00224000005983,0.0800800025463,0.132719993591,79.4435951901,602.0,34.0,86.7998452461,206.95500432,565.0,34.0,32.3451852987
1,1,-2,0.0,3,0.00233000004664,0.0394899994135,0.0773900002241,93.8923585109,627.0,39.0,85.7827660219,217.696633785,556.0,39.0,32.6184066019
1,1,-2,0.0,4,0.00258999993093,0.0201699994504,0.0440399982035,78.809328197,645.0,27.0,89.9022056293,204.664724942,577.0,27.0,35.6649436816
1,1,-2,0.0,5,0.00383000005968,0.00608000019565,0.0150600001216,348.123711118,751.0,49.0,69.9787089607,1298.62683972,721.0,49.0,47.3228404167
1,1,-2,0.0,6,0.0155300004408,0.000490000005811,0.00130000000354,185.379001656,682.0,10.0,84.3116652639,2717.55791331,636.0,10.0,45.7226985468
1,1,-2,0.0,7,0.0503199994564,0.000150000007125,0.000369999994291,102.324753384,677.0,6.0,88.5096093193,4473.48401138,524.0,6.0,37.7665351967
1,1,-2,0.1,1,0.00261999992654,0.133670002222,0.185640007257,79.2261214718,612.0,30.0,91.1876159846,263.026218678,572.0,30.0,31.3533033323
1,1,-2,0.1,2,0.00236999988556,0.092950001359,0.149780005217,75.5927365351,620.0,27.0,91.159884647,209.426027866,565.0,27.0,32.3451852987
1,1,-2,0.1,3,0.00243999995291,0.0479799993336,0.0980999991298,91.3522753456,641.0,34.0,89.0171388559,219.627197941,556.0,34.0,32.6184066019
1,1,-2,0.1,4,0.00270000007004,0.0262499991804,0.0656299963593,76.5845604119,657.0,23.0,92.8920169751,206.156320204,577.0,23.0,35.6649436816
1,1,-2,0.1,5,0.00395999988541,0.00972000043839,0.0335000008345,354.033498344,762.0,47.0,71.2751210822,1305.10291619,721.0,47.0,47.3228404167
1,1,-2,0.1,6,0.0157999992371,0.00185999996029,0.0092700002715,186.888871688,689.0,9.0,85.3967847778,2692.22916007,636.0,9.0,45.7226985468
1,1,-2,0.1,7,0.0511699989438,0.000720000010915,0.00453000003472,103.391206437,686.0,6.0,89.842975486,4404.65742548,524.0,6.0,37.7665351967
1,1,-2,0.2,1,0.0027799999807,0.152380004525,0.197540000081,73.4111445132,632.0,21.0,96.2463885552,267.150298819,572.0,21.0,31.3533033323
1,1,-2,0.2,2,0.00251000002027,0.107390001416,0.164389997721,70.9098952333,640.0,20.0,95.9210242011,211.679394081,565.0,20.0,32.3451852987
1,1,-2,0.2,3,0.00255999993533,0.0575300008059,0.115539997816,88.366499856,656.0,29.0,92.6581270536,221.708269729,556.0,29.0,32.6184066019
1,1,-2,0.2,4,0.00282000005245,0.0330700017512,0.0836500003934,74.0380670363,671.0,18.0,96.2804875707,207.912166979,577.0,18.0,35.6649436816
1,1,-2,0.2,5,0.00410000002012,0.0137200001627,0.0487399995327,360.722686852,776.0,45.0,72.8353432265,1317.75413486,721.0,45.0,47.3228404167
1,1,-2,0.2,6,0.0160900000483,0.00328000006266,0.0161400008947,188.619254032,697.0,7.0,86.6220670838,2679.14452045,636.0,7.0,45.7226985468
1,1,-2,0.2,7,0.052009999752,0.00130000000354,0.0083799995482,104.429458885,695.0,5.0,91.161861706,4349.46435772,524.0,5.0,37.7665351967
1,1,-2,0.3,1,0.00295999995433,0.17324000597,0.207949995995,67.0556289603,655.0,12.0,101.984364818,272.157065452,572.0,12.0,31.3533033323
1,1,-2,0.3,2,0.00265999999829,0.12364000082,0.177110001445,65.1484465006,660.0,11.0,101.083806766,213.399922595,565.0,11.0,32.3451852987
1,1,-2,0.3,3,0.00270000007004,0.0682500004768,0.130640000105,85.3645755328,676.0,22.0,97.0132331906,224.936356927,556.0,22.0,32.6184066019
1,1,-2,0.3,4,0.00295000011101,0.0406999997795,0.0992399975657,71.0830915179,688.0,13.0,100.031867776,209.796174755,577.0,13.0,35.6649436816
1,1,-2,0.3,5,0.00424000015482,0.0181499999017,0.0620599985123,367.084832229,789.0,42.0,74.4260515863,1331.35113587,721.0,42.0,47.3228404167
1,1,-2,0.3,6,0.0163800008595,0.00474999984726,0.022290000692,190.315720406,705.0,6.0,87.8647860302,2671.2172451,636.0,6.0,45.7226985468
1,1,-2,0.3,7,0.0528800003231,0.00190000003204,0.0117800002918,105.512948229,704.0,5.0,92.5421402141,4312.71976166,524.0,5.0,37.7665351967
1,1,-2,0.4,1,0.00316000008024,0.196439996362,0.21713000536,59.9690920219,680.0,1.0,108.387754906,277.692840942,572.0,1.0,31.3533033323
1,1,-2,0.4,2,0.00282000005245,0.141680002213,0.18830999732,58.3090743808,682.0,1.0,106.645923414,214.666346846,565.0,1.0,32.3451852987
1,1,-2,0.4,3,0.00283999997191,0.0801699981093,0.143920004368,81.2009504608,694.0,15.0,101.394136091,226.938009433,556.0,15.0,32.6184066019
1,1,-2,0.4,4,0.00307999993674,0.0491200014949,0.112970001996,67.3544642857,703.0,7.0,103.812075113,211.118143361,577.0,7.0,35.6649436816
1,1,-2,0.4,5,0.00438999990001,0.0231199990958,0.0740500018001,373.847404234,804.0,39.0,76.1882617973,1347.79327117,721.0,39.0,47.3228404167
1,1,-2,0.4,6,0.0166800003499,0.00627999985591,0.0278999991715,192.085386665,713.0,5.0,89.1706270205,2668.0547487,636.0,5.0,45.7226985468
1,1,-2,0.4,7,0.0537599995732,0.00252000009641,0.0148700000718,106.599729983,714.0,4.0,93.9458351937,4286.66897141,524.0,4.0,37.7665351967
1,1,-2,0.5,1,0.00337999989279,0.22214999795,0.225290000439,54.0370391705,707.0,1.0,114.467646871,283.751776714,572.0,1.0,31.3533033323
1,1,-2,0.5,2,0.00300000002608,0.16167999804,0.198280006647,52.911391129,706.0,1.0,111.97690531,216.380520953,565.0,1.0,32.3451852987
1,1,-2,0.5,3,0.00300000002608,0.0933400020003,0.155739992857,76.914296515,716.0,7.0,106.458543693,229.787255184,556.0,7.0,32.6184066019
1,1,-2,0.5,4,0.00322999991477,0.0584000013769,0.125239998102,63.5219020017,722.0,1.0,108.246740799,212.735735887,577.0,1.0,35.6649436816
1,1,-2,0.5,5,0.00455999979749,0.0284100007266,0.0847600027919,382.077691172,822.0,36.0,78.2764794809,1369.88547127,721.0,36.0,47.3228404167
1,1,-2,0.5,6,0.0169799998403,0.00784999970347,0.0330899991095,193.823631912,721.0,3.0,90.4824304447,2667.18509685,636.0,3.0,45.7226985468
1,1,-2,0.5,7,0.0546699985862,0.00316000008024,0.0176999997348,107.73249748,724.0,4.0,95.4012667908,4270.12250504,524.0,4.0,37.7665351967
1,1,-2,0.6,1,0.00361000001431,0.250539988279,0.232570007443,52.4851760513,734.0,1.0,118.200219007,288.512460397,572.0,1.0,31.3533033323
1,1,-2,0.6,2,0.00319000007585,0.183750003576,0.207200005651,51.0943620392,731.0,1.0,115.55006486,217.432324669,565.0,1.0,32.3451852987
1,1,-2,0.6,3,0.00316000008024,0.107819996774,0.166329994798,71.3493663594,737.0,1.0,111.549340549,231.385928499,556.0,1.0,32.6184066019
1,1,-2,0.6,4,0.00337999989279,0.0686900019646,0.136350005865,58.8098610311,740.0,1.0,112.637646994,213.720042483,577.0,1.0,35.6649436816
1,1,-2,0.6,5,0.00473000016063,0.0341500006616,0.0944999977946,389.871669787,839.0,33.0,80.3496384319,1391.28663954,721.0,33.0,47.3228404167
1,1,-2,0.6,6,0.0173000004143,0.00949000008404,0.0379300005734,195.729718102,731.0,1.0,91.9015440881,2670.76590222,636.0,1.0,45.7226985468
1,1,-2,0.6,7,0.0555900000036,0.00380999990739,0.020320000127,108.868708597,734.0,3.0,96.8811693559,4259.78317612,524.0,3.0,37.7665351967
1,1,-2,0.7,1,0.00386000005528,0.28180000186,0.239099994302,52.2215275778,763.0,1.0,121.638841482,293.528114199,572.0,1.0,31.3533033323
1,1,-2,0.7,2,0.00338999996893,0.208000004292,0.215210005641,50.5914710541,756.0,1.0,118.462859823,217.577145737,565.0,1.0,32.3451852987
1,1,-2,0.7,3,0.00334000005387,0.123800002038,0.175879999995,65.4506624424,760.0,1.0,117.283933961,233.600365423,556.0,1.0,32.6184066019
1,1,-2,0.7,4,0.0035500000231,0.0800699964166,0.146500006318,56.729453485,761.0,1.0,116.200181914,215.220517713,577.0,1.0,35.6649436816
1,1,-2,0.7,5,0.00490000005811,0.0403099991381,0.103430002928,397.260116647,856.0,29.0,82.4068910504,1412.06623344,721.0,29.0,47.3228404167
1,1,-2,0.7,6,0.0176199991256,0.0111800003797,0.0424599982798,197.591748272,740.0,1.0,93.3222603993,2675.54651858,636.0,1.0,45.7226985468
1,1,-2,0.7,7,0.0565400011837,0.00448000011966,0.0227700006217,110.049020737,744.0,3.0,98.4110224893,4255.2827603,524.0,3.0,37.7665351967
1,1,-2,0.8,1,0.00413999985904,0.316100001335,0.24498000741,52.483656754,794.0,1.0,125.621110413,299.521502376,572.0,1.0,31.3533033323
1,1,-2,0.8,2,0.00362000009045,0.234559997916,0.222440004349,50.8067000288,785.0,1.0,122.093415778,218.935354263,565.0,1.0,32.3451852987
1,1,-2,0.8,3,0.00353000010364,0.141090005636,0.184569999576,60.9798639113,784.0,1.0,122.250684033,235.50374244,556.0,1.0,32.6184066019
1,1,-2,0.8,4,0.00372999999672,0.0926200002432,0.155799999833,55.5893379176,783.0,1.0,119.339131055,216.235325461,577.0,1.0,35.6649436816
1,1,-2,0.8,5,0.00509000010788,0.0467999987304,0.11153999716,406.030133929,876.0,25.0,84.7519820742,1437.32219722,721.0,25.0,47.3228404167
1,1,-2,0.8,6,0.0179600007832,0.0129199996591,0.0467300005257,199.640916619,750.0,1.0,94.8451908619,2683.75683324,636.0,1.0,45.7226985468
1,1,-2,0.8,7,0.0575000010431,0.00516999978572,0.0250700004399,111.231341806,755.0,2.0,99.9581906416,4254.56239199,524.0,2.0,37.7665351967
1,1,-2,0.9,1,0.00443999981508,0.353650003672,0.250270009041,52.8412316388,827.0,1.0,129.65085331,305.534050979,572.0,1.0,31.3533033323
1,1,-2,0.9,2,0.00386000005528,0.263559997082,0.228990003467,50.9794408842,814.0,1.0,125.515995738,218.97702693,565.0,1.0,32.3451852987
1,1,-2,0.9,3,0.00374000007287,0.160109996796,0.19251999259,59.1350446429,811.0,1.0,126.398246312,237.728290611,556.0,1.0,32.6184066019
1,1,-2,0.9,4,0.00392000004649,0.105930000544,0.164350003004,54.7942864343,806.0,1.0,122.53649731,217.153544427,577.0,1.0,35.6649436816
1,1,-2,0.9,5,0.00528999976814,0.053860001266,0.119089998305,415.063202045,897.0,21.0,87.214707313,1463.72685772,721.0,21.0,47.3228404167
1,1,-2,0.9,6,0.0183000005782,0.0147200003266,0.0507499985397,201.631649626,760.0,1.0,96.3672469299,2692.64987939,636.0,1.0,45.7226985468
1,1,-2,0.9,7,0.0584900006652,0.00588000006974,0.0272400006652,112.451945925,765.0,1.0,101.555308618,4258.071803,524.0,1.0,37.7665351967
1,1,-2,1.0,1,0.00475999992341,0.394670009613,0.255059987307,53.2238011233,861.0,1.0,133.687700183,310.492173099,572.0,1.0,31.3533033323
1,1,-2,1.0,2,0.00412000017241,0.295150011778,0.234929993749,51.3086279522,845.0,1.0,129.181428291,219.039620536,565.0,1.0,32.3451852987
1,1,-2,1.0,3,0.00395999988541,0.180889993906,0.199799999595,57.7943998416,838.0,1.0,130.254514489,239.193948013,556.0,1.0,32.6184066019
1,1,-2,1.0,4,0.00411000009626,0.12025000155,0.172079995275,54.0188670075,827.0,1.0,125.401076189,217.260073445,577.0,1.0,35.6649436816
1,1,-2,1.0,5,0.0054999999702,0.0614299997687,0.126100003719,424.409148185,918.0,17.0,89.7911759741,1491.26058108,721.0,17.0,47.3228404167
1,1,-2,1.0,6,0.0186500009149,0.0165800005198,0.0545700006187,203.680681164,770.0,1.0,97.9370473181,2703.13328953,636.0,1.0,45.7226985468
1,1,-2,1.0,7,0.0594899989665,0.00661000004038,0.0292799994349,113.67483979,776.0,1.0,103.169978987,4264.45565236,524.0,1.0,37.7665351967
1,1,-3,0.0,1,0.0024600001052,0.117009997368,0.171900004148,83.0525759649,591.0,37.0,86.1883961046,256.911527938,572.0,37.0,31.3533033323
1,1,-3,0.0,2,0.00224000005983,0.0800800025463,0.132719993591,79.4435951901,602.0,34.0,86.7998452461,206.95500432,565.0,34.0,32.3451852987
1,1,-3,0.0,3,0.00233000004664,0.0394899994135,0.0773900002241,93.8923585109,627.0,39.0,85.7827660219,217.696633785,556.0,39.0,32.6184066019
1,1,-3,0.0,4,0.00258999993093,0.0201699994504,0.0440399982035,78.809328197,645.0,27.0,89.9022056293,204.664724942,577.0,27.0,35.6649436816
1,1,-3,0.0,5,0.00383000005968,0.00608000019565,0.0150600001216,348.123711118,751.0,49.0,69.9787089607,1298.62683972,721.0,49.0,47.3228404167
